类别 	产品小类 	性质、用途、功效 	适用农作物 												
亚洲 	71,484.70 	14.24% 	泰国、印度尼西亚、越南、马来西亚、中国、哈萨克斯坦、菲律宾、土耳其、缅甸、巴基斯坦、孟加拉国、香港、柬埔寨、韩国、台湾地区、印度、约旦、黎巴嫩 												
非洲 	  30,829.03   	6.14% 	南非、加纳、喀麦隆、苏丹、尼日利亚、坦桑尼亚、毛里求斯 												
欧洲 	  20,012.42   	3.99% 	俄罗斯、意大利、乌克兰、波兰、西班牙、白俄罗斯 												
合计 	502,087.45 	100.00% 	- 												
															
类别 	2017 年度 	2016 年度 	2015 年度 												
农药产品传统出口模式 	18.10% 	16.41% 	14.99% 												
农药产品传统出口模式 	18.10% 	16.41% 	14.99% 												
农药产品境外自主登记模式 	23.44% 	23.05% 	20.03% 												
主营业务收入毛利率 	20.94% 	19.40% 	16.88% 												
															
类别 	2017 年度 	2017 年度 	2016 年度 	2016 年度 	2015 年度 	2015 年度 	2015 年度 								
类别 	收入额 	比重 	收入额 	比重 	收入额 	比重 									
农药产品 传统出口模式 	  235,245.12   	46.85% 	206,576.50   	55.07% 	180,866.99   	62.51% 	62.51% 								
农药产品 传统出口模式 	  235,245.12   	46.85% 	206,576.50   	55.07% 	180,866.99   	62.51% 	62.51% 								
农药产品境外 自主登记模式 	  266,842.34   	53.15% 	168,531.83   	44.93% 	108,478.41   	37.49% 	37.49% 								
主营业务收入 	  502,087.45   	100.00% 	375,108.33   	100.00% 	289,345.40   	100.00% 	100.00% 								
															
类别 	2017 年度 	2017 年度 	2016 年度 	2016 年度 	2015 年度 	2015 年度 									
类别 	收入额 	比重 	收入额 	比重 	收入额 	比重 									
生产型客户 	333,806.59 	66.48% 	233,060.86   	62.13% 	192,237.21   	66.44% 									
生产型客户 	333,806.59 	66.48% 	233,060.86   	62.13% 	192,237.21   	66.44% 									
贸易型客户 	168,280.86 	33.52% 	142,047.47   	37.87% 	97,108.19   	33.56% 									
主营业务收入 	502,087.45   	100.00% 	375,108.33   	100.00% 	289,345.40   	100.00% 									
主营业务收入 	502,087.45   	100.00% 	375,108.33   	100.00% 	289,345.40   	100.00% 									
															
类别 	2017 年度 	2017 年度 	2016 年度 	2016 年度 	2015 年度 	2015 年度 									
类别 	收入额 	比重 	收入额 	比重 	收入额 	比重 									
直销模式 	407,948.66 	81.25% 	330,828.61 	88.20% 	279,015.77 	96.43% 									
直销模式 	407,948.66 	81.25% 	330,828.61 	88.20% 	279,015.77 	96.43% 									
经销模式 	94,138.79 	18.75% 	44,279.72 	11.80% 	10,329.63 	3.57% 									
主营业务收入 	502,087.45 	100.00% 	375,108.33   	100.00% 	289,345.40   	100.00% 									
主营业务收入 	502,087.45 	100.00% 	375,108.33   	100.00% 	289,345.40   	100.00% 									
															
序号 	主要法规及政策 	颁布单位 	实施时间 												
一、法律法规 	一、法律法规 	一、法律法规 	一、法律法规 	一、法律法规 											
一、法律法规 	一、法律法规 	一、法律法规 	一、法律法规 	一、法律法规 											
1 	《农药管理条例》（2001 年修订） 	国务院 	2001 年 												
2 	《农药管理条例》（2017 年修订） 	国务院 	2017 年 												
3 	《农药登记管理办法》 	农业部 	2017 年 												
4 	《农药管理条例实施办法》（2007 年修订） 	农业部 	2008 年 												
5 	《农药限制使用管理规定》 	农业部 	2002 年 												
6 	《农药生产许可管理办法》 	农业部 	2017 年 												
7 	《农药登记资料规定》 	农业部 	2008 年 												
8 	《农药标签和说明书管理办法》 	农业部 	2017 年 												
9 	《关于进一步加强农药行业管理工作的通知》 	国家发改委 	2008 年 												
10 	《中华人民共和国监控化学品管理条例》（2011 年修订） 	国务院 	2011 年 												
11 	《安全生产许可证条例》（2014 年修订） 	国务院 	2014 年 												
12 	《易制毒化学品管理条例》（2014 年修订） 	国务院 	2014 年 												
13 	《中华人民共和国环境保护法》（2014 年修订） 	全国人大常委会 	2014 年 												
14 	《危险化学品生产企业安全生产许可证实施办法》（2015 年修正） 	安监总局 	2015 年 												
二、主要产业政策 	二、主要产业政策 	二、主要产业政策 	二、主要产业政策 	二、主要产业政策 											
1 	《国家中长期科学和技术发展规划纲要（2006-2020）》  	国务院 	2006 年 												
2 	《农药产业政策》 	工信部、环保部、农业部、质检总局 	2010 年 												
3 	《农药工业“十二五”发展规划》 	工信部 	2012 年 												
4 	《加快推进农业科技创新持续增强农产品供给保障能力的若干意见》 	国务院 	2012 年 												
5 	《国家发展改革委关于修改<产业结构调整指导目录（2011 年本）>有关条款的决定》 	国家发改委 	2013 年 												
6 	《农药工业“十三五”发展规划》 	中国农药工业协会 	2016 年 												
7 	《石化和化学工业发展规划（2016－2020年）》 	工信部 	2016 年 												
															
 	 														
数据来源：《世界人口展望：2017 年修订》 	数据来源：FAO 数据库 														
															
2000年	2001年	2002年	2003年	2004年	2005年	2006年	2007年	2008年	2009年	2010年	2011年	2012年	2013年	2014年	2015年
															
农用	非农用														
															
地区 	销 售 规 模  	占比 													
亚洲 	138.66   	27.74% 													
亚洲 	138.66   	27.74% 													
拉丁美洲 	130.76   	26.16% 													
欧洲 	114.53   	22.91% 													
北美自由贸易区 	94.75   	18.96% 													
世界其他地区 	21.15   	4.23% 													
合   计  	499.85   	100.00% 													
															
公司 	2016年  														
先 正达 	95.71 														
先 正达 	95.71 														
拜耳 	88.37 														
巴斯夫 	61.82 														
陶氏益农 	46.31 														
孟山都 	35.14 														
杜邦 	28.55 														
合   计  	355.90 														
															
类 型 	特 点 														
创制类农药企业 	巨额投入研发新产品，专利保护，获取高回报，继续研发新产品迭代，为行业领军企业。 														
创制类农药企业 	巨额投入研发新产品，专利保护，获取高回报，继续研发新产品迭代，为行业领军企业。 														
仿制类原药企业 	仿制专利过期产品，依靠生产成本优势生产原药，因为产品价格会快速下降，必须扩大市场规模，并做好产品阶梯储备。 														
农药制剂企业 	采购原药生产制剂，靠近消费终端，必须掌控渠道、建立品牌优势才能保证竞争力。 														
农药中间体企业 	不参与终端竞争，主要面向跨国农药企业提供定制服务。 														
															
项目 	2013 年度 	2012 年度 	2011 年度 												
澳大利亚销售收入 	24,552.08 	25,442.71 	25,100.39 												
澳大利亚销售收入 	24,552.08 	25,442.71 	25,100.39 												
其中：草甘膦制剂产品销售收入 	7,507.90 	4,933.71 	9,497.87 												
其中：草甘膦 450G/L 水剂销售收入 	4,567.22 	4,063.20 	8,856.01 												
草甘膦 450G/L 水剂平均价格（万元/吨） 	2.40 	1.91 	1.77 												
															
项目 	项目 	2017 年度 	2016 年度 	2015 年度 											
除草剂（自产） 	产量（吨） 	92,033.52 	87,178.90   	62,390.66   											
除草剂（自产） 	产量（吨） 	92,033.52 	87,178.90   	62,390.66   											
除草剂（自产） 	销量（吨） 	  82,509.88   	73,961.56   	54,796.88   											
除草剂（自产） 	自用量（吨） 	  9,292.36   	10,359.15   	6,897.54   											
除草剂（自产） 	销售收入（万元） 	  335,536.48   	245,673.89   	178,594.44   											
除草剂（自产） 	产销率 	99.75% 	96.72% 	98.88% 											
除草剂（贸易） 	销量（吨） 	  35,725.64   	40,110.04   	31,232.05   											
除草剂（贸易） 	销售收入（万元） 	  98,541.72   	78,590.75   	85,136.14   											
杀虫剂（自产） 	产量（吨） 	  1,183.63   	744.15   	443.63   											
杀虫剂（自产） 	销量（吨） 	  1,072.32   	746.23   	433.84   											
杀虫剂（自产） 	销售收入（万元） 	  23,816.53   	10,402.79   	6,449.78   											
杀虫剂（自产） 	产销率 	90.60% 	100.28% 	97.79% 											
杀虫剂（贸易） 	销量（吨） 	  817.44   	1,798.03   	725.51   											
杀虫剂（贸易） 	销售收入（万元） 	  5,888.77   	10,730.42   	6,147.33   											
杀菌剂（自产） 	产量（吨） 	  2,581.88   	914.84   	463.80   											
杀菌剂（自产） 	销量（吨） 	  1,896.46   	919.18   	457.90   											
杀菌剂（自产） 	自用量（吨） 	  467.10   	- 	- 											
杀菌剂（自产） 	销售收入（万元） 	  26,501.74   	12,451.12   	3,279.93   											
杀菌剂（自产） 	产销率 	91.54% 	100.47% 	98.73% 											
杀菌剂（贸易） 	销量（吨） 	  1,522.41   	2,557.88   	1,847.59   											
杀菌剂（贸易） 	销售收入（万元） 	  9,252.78   	14,030.35   	8,720.60   											
															
项目 	2017年度 	2016年度 	2015年度 												
草甘膦 	草甘膦 	草甘膦 	草甘膦 												
草甘膦 	草甘膦 	草甘膦 	草甘膦 												
产能 	22,200.00 	22,200.00   	22,200.00   												
产量 	- 	-       	2,244.73   												
外购量 	34,508.95   	41,109.35   	30,216.10     												
产量+外购量 	34,508.95   	41,109.35   	32,460.82   												
（产量+外购量）/产能（倍） 	1.55   	1.85   	1.46   												
莠去津 	莠去津 	莠去津 	莠去津 												
产能 	10,000.00   	10,000.00   	10,000.00   												
产量 	- 	1,694.82   	6,988.46   												
外购量 	23,707.20   	16,823.29   	1,644.28   												
产量+外购量 	23,707.20   	18,518.11   	8,632.73   												
（产量+外购量）/产能（倍） 	1.98   	1.85   	0.86   												
2,4-D 	2,4-D 	2,4-D 	2,4-D 												
产能 	10,000.00   	3,000.00   	7,500.00   												
产量 	5,685.56   	2,573.72   	5,557.88   												
外购量 	14,061.30   	16,878.50   	16,046.72   												
产量+外购量 	19,746.86   	19,452.22   	21,604.60   												
（产量+外购量）/产能（倍） 	2.47   	6.48   	2.88   												
莠灭净 	莠灭净 	莠灭净 	莠灭净 												
产能 	6,000.00 	5,000.00 	 												
产量 	6,538.00 	4,176.00   	 												
外购量 	- 	823.85   	 												
产量+外购量 	6,538.00 	4,999.85   	 												
（产量+外购量）/产能（倍） 	1.09 	1.00   	 												
															
项目 	2017年度 	2016年度 	2015年度 												
制剂产能 	  149,050.00   	129,800.00   	106,050.00   												
制剂产能 	  149,050.00   	129,800.00   	106,050.00   												
制剂产量 	126,560.83     	113,439.10   	76,412.52   												
产能利用率 	84.91% 	87.40% 	72.05% 												
															
项目 	项目 	2017 年度 	2017 年度 	2016 年度 	2016 年度 	2015 年度 									
项目 	项目 	平均售价 	增幅 	平均售价 	增幅 	平均售价 									
除草剂 	自产类 	40,666.22 	22.43% 	33,216.43 	1.92% 	32,592.08 									
除草剂 	自产类 	40,666.22 	22.43% 	33,216.43 	1.92% 	32,592.08 									
除草剂 	贸易类 	27,582.91 	40.77% 	19,593.79 	-28.12% 	27,259.22 									
杀虫剂 	自产类 	222,102.14 	59.32% 	139,404.55 	-6.23% 	148,667.33 									
杀虫剂 	贸易类 	72,039.25 	20.71% 	59,678.77 	-29.57% 	84,731.06 									
杀菌剂 	自产类 	139,742.93 	3.16% 	135,458.99 	89.11% 	71,629.82 									
杀菌剂 	贸易类 	60,777.17 	10.80% 	54,851.49 	16.21% 	47,199.87 									
															
上市公司 	主营业务毛利率 	主营业务毛利率 	主营业务毛利率 												
上市公司 	2017 年 1-6 月 	2016 年度 	2015 年度 												
新安股份 	17.40% 	13.32% 	9.93% 												
新安股份 	17.40% 	13.32% 	9.93% 												
江山股份 	13.45% 	6.65% 	9.91% 												
扬农化工 	26.13% 	25.23% 	27.08% 												
广信股份 	27.27% 	31.47% 	30.46% 												
中旗股份 	22.49% 	20.82% 	23.81% 												
蓝丰生化 	29.89% 	33.57% 	19.88% 												
六家平均 	22.77% 	21.84% 	20.18% 												
润丰股份 	18.60% 	19.40% 	16.88% 												
上市公司 	销售净利率 	销售净利率 	销售净利率 												
上市公司 	销售净利率 	销售净利率 	销售净利率 												
上市公司 	2017 年 1-6 月 	2016 年度 	2015 年度 												
新安股份 	5.76% 	1.14% 	-3.63% 												
新安股份 	5.76% 	1.14% 	-3.63% 												
江山股份 	3.86% 	1.10% 	0.39% 												
扬农化工 	12.65% 	15.00% 	14.61% 												
广信股份 	11.99% 	12.06% 	9.83% 												
中旗股份 	9.84% 	8.59% 	11.75% 												
蓝丰生化 	7.14% 	7.36% 	-6.81% 												
六家平均 	8.54% 	7.54% 	4.36% 												
润丰股份 	5.30% 	6.26% 	6.17% 												
															
序号 	客户名称 	销售产品 	金额（万元） 	占比（%） 											
2017 年度 	2017 年度 	2017 年度 	2017 年度 	2017 年度 											
2017 年度 	2017 年度 	2017 年度 	2017 年度 	2017 年度 											
1 	ALBAUGH AGRO BRASIL LTDA 	除草剂 	  24,005.20   	  4.76   											
1 	ALBAUGH AGRO BRASIL LTDA 	除草剂 	  24,005.20   	  4.76   											
1 	ATANOR S.C.A 	除草剂、杀虫剂 	  17,665.07   	  3.50   											
1 	ATANOR S.C.A 	除草剂、杀虫剂 	  17,665.07   	  3.50   											
1 	Albaugh LLC 	除草剂、杀菌剂 	  9,894.08   	  1.96   											
1 	Albaugh LLC 	除草剂、杀菌剂 	  9,894.08   	  1.96   											
2 	NUFARM INDUSTRIA QUIMICA   E FARMACEUTICA SA 	除草剂 	  14,034.20   	  2.78   											
2 	NUFARM INDUSTRIA QUIMICA   E FARMACEUTICA SA 	除草剂 	  14,034.20   	  2.78   											
2 	NUFARM S.A 	除草剂、杀虫剂 	  9,762.08   	  1.93   											
2 	NUFARM S.A 	除草剂、杀虫剂 	  9,762.08   	  1.93   											
2 	NUFARM COLOMBIA S.A. 	除草剂、杀虫剂、杀菌剂 	2,844.38 	  0.56   											
2 	NUFARM COLOMBIA S.A. 	除草剂、杀虫剂、杀菌剂 	2,844.38 	  0.56   											
2 	NUFARM AMERICAS INC. 	除草剂 	  1,767.98   	  0.35   											
2 	NUFARM AMERICAS INC. 	除草剂 	  1,767.98   	  0.35   											
2 	NUFARM AUSTRALIA LIMITED 	除草剂 	  636.54   	  0.13   											
2 	NUFARM AUSTRALIA LIMITED 	除草剂 	  636.54   	  0.13   											
2 	NUFARM  NZ  DIVISION  OF  NUFARM LIMITED 	除草剂 	  616.66   	  0.12   											
2 	NUFARM  NZ  DIVISION  OF  NUFARM LIMITED 	除草剂 	  616.66   	  0.12   											
2 	Nufarm Services (Singapore) Pte Ltd 	除草剂 	  378.75   	  0.08   											
2 	Nufarm Services (Singapore) Pte Ltd 	除草剂 	  378.75   	  0.08   											
															
NUFARM GRUPO MEXICO S DE RL DE CV 	除草剂 	161.92   	161.92   	  0.03   											
NUFARM MALAYSIA SDN BHD   	除草剂 	  111.08   	  111.08   	  0.02   											
NUFARM MALAYSIA SDN BHD   	除草剂 	  111.08   	  111.08   	  0.02   											
TECHNO FARM CORP 	除草剂、杀虫剂、杀菌剂、其他 	  25,558.14   	  25,558.14   	  5.06   											
TECHNO FARM CORP 	除草剂、杀虫剂、杀菌剂、其他 	  25,558.14   	  25,558.14   	  5.06   											
ADAMA AUSTRALIA PTY LIMITED 	除草剂、杀菌剂 	7,699.30 	7,699.30 	  1.53   											
ADAMA AUSTRALIA PTY LIMITED 	除草剂、杀菌剂 	7,699.30 	7,699.30 	  1.53   											
ADAMA BRASIL S/A 	除草剂 	  7,363.09   	  7,363.09   	  1.46   											
ADAMA BRASIL S/A 	除草剂 	  7,363.09   	  7,363.09   	  1.46   											
ALLIGARE LLC 	除草剂 	1,020.50   	1,020.50   	  0.20   											
ALLIGARE LLC 	除草剂 	1,020.50   	1,020.50   	  0.20   											
ADAMA NEW ZEALAND PTY LIMITED 	除草剂 	  531.09   	  531.09   	  0.11   											
ADAMA NEW ZEALAND PTY LIMITED 	除草剂 	  531.09   	  531.09   	  0.11   											
ADAMA Agan LTD. 	除草剂 	  322.29   	  322.29   	  0.06   											
ADAMA Agan LTD. 	除草剂 	  322.29   	  322.29   	  0.06   											
ADAMA CROP SOLUTIONS ACC, S.A. 	除草剂 	  100.45   	  100.45   	  0.02   											
ADAMA CROP SOLUTIONS ACC, S.A. 	除草剂 	  100.45   	  100.45   	  0.02   											
CONTROL SOLUTIONS INC 	除草剂 	  69.49   	  69.49   	  0.01   											
CONTROL SOLUTIONS INC 	除草剂 	  69.49   	  69.49   	  0.01   											
AGROFINA S.A. 	除草剂、杀虫剂、杀菌剂 	  14,735.46   	  14,735.46   	  2.92   											
AGROFINA S.A. 	除草剂、杀虫剂、杀菌剂 	  14,735.46   	  14,735.46   	  2.92   											
LOS GROBO AGROPECUARIA S.A. 	除草剂 	  623.03   	  623.03   	  0.12   											
LOS GROBO AGROPECUARIA S.A. 	除草剂 	  623.03   	  623.03   	  0.12   											
DU PONT DO BRASIL S.A. 	除草剂 	  14,716.74   	  14,716.74   	  2.92   											
DU PONT DO BRASIL S.A. 	除草剂 	  14,716.74   	  14,716.74   	  2.92   											
MOLINO CANUELAS S.A.C.I.F.I.A. 	除草剂、杀虫剂、杀菌剂、其他 	  11,675.59   	  11,675.59   	2.31 											
MOLINO CANUELAS S.A.C.I.F.I.A. 	除草剂、杀虫剂、杀菌剂、其他 	  11,675.59   	  11,675.59   	2.31 											
COMPANIA ARGENTINA DE GRANOS S.A 	除草剂、杀虫剂、杀菌剂 	988.93 	988.93 	0.20 											
COMPANIA ARGENTINA DE GRANOS S.A 	除草剂、杀虫剂、杀菌剂 	988.93 	988.93 	0.20 											
AGROSERVICIOS PAMPEANOS S.A. 	除草剂 	  12,115.62   	  12,115.62   	  2.40   											
AGROSERVICIOS PAMPEANOS S.A. 	除草剂 	  12,115.62   	  12,115.62   	  2.40   											
VILLA CROP PROTECTION (PTY) LTD 	除草剂、杀虫剂、杀菌剂 	  11,810.52   	  11,810.52   	  2.34   											
VILLA CROP PROTECTION (PTY) LTD 	除草剂、杀虫剂、杀菌剂 	  11,810.52   	  11,810.52   	  2.34   											
OURO FINO QUÍMICA LTDA 	除草剂 	  10,728.53   	  10,728.53   	  2.13   											
OURO FINO QUÍMICA LTDA 	除草剂 	  10,728.53   	  10,728.53   	  2.13   											
- 	201,936.71 	201,936.71 	40.02 												
- 	201,936.71 	201,936.71 	40.02 												
															
3 															
4 															
4 															
5 															
5 															
6 															
6 															
7 															
7 															
8 															
8 															
9 															
9 															
10 															
10 															
合计 	合计 														
合计 	合计 														
2016 年度 	2016 年度 	2016 年度 	2016 年度 	2016 年度 											
2016 年度 	2016 年度 	2016 年度 	2016 年度 	2016 年度 											
1 	ATANOR DO BRASIL LTDA 	除草剂 	24,751.35   	6.51 											
1 	ATANOR DO BRASIL LTDA 	除草剂 	24,751.35   	6.51 											
1 	Albaugh LLC 	除草剂、杀菌剂 	13,059.65   	3.44 											
1 	Albaugh LLC 	除草剂、杀菌剂 	13,059.65   	3.44 											
1 	ATANOR S.C.A 	除草剂、杀虫剂 	6,925.00   	1.82 											
1 	ATANOR S.C.A 	除草剂、杀虫剂 	6,925.00   	1.82 											
2 	NUFARM INDUSTRIA QUIMICA   E FARMACEUTICA SA 	除草剂 	14,306.74   	3.76 											
2 	NUFARM INDUSTRIA QUIMICA   E FARMACEUTICA SA 	除草剂 	14,306.74   	3.76 											
2 	NUFARM S.A 	除草剂、杀虫剂、杀菌剂 	8,496.42   	2.23 											
2 	NUFARM S.A 	除草剂、杀虫剂、杀菌剂 	8,496.42   	2.23 											
2 	NUFARM AUSTRALIA LIMITED 	除草剂 	2,703.04   	0.71 											
2 	NUFARM AUSTRALIA LIMITED 	除草剂 	2,703.04   	0.71 											
2 	NUFARM COLOMBIA S.A. 	除草剂、杀虫剂、杀菌剂 	984.85   	0.26 											
2 	NUFARM COLOMBIA S.A. 	除草剂、杀虫剂、杀菌剂 	984.85   	0.26 											
2 	NUFARM NZ DIVISION OF NUFARM LIMITED 	除草剂 	184.55   	0.05 											
2 	NUFARM NZ DIVISION OF NUFARM LIMITED 	除草剂 	184.55   	0.05 											
2 	NUFARM MALAYSIA SDN BHD 	除草剂 	93.71   	0.02 											
2 	NUFARM MALAYSIA SDN BHD 	除草剂 	93.71   	0.02 											
															
3 	DU PONT DO BRASIL S.A. 	除草剂 	14,142.45   	3.72 											
3 	DU-PONT ARGENTINA SRL 	除草剂 	2,545.97   	0.67 											
3 	DU-PONT ARGENTINA SRL 	除草剂 	2,545.97   	0.67 											
4 	ADAMA AUSTRALIA PTY LIMITED 	除草剂、杀虫剂、杀菌剂 	6,210.94   	1.63 											
4 	ADAMA AUSTRALIA PTY LIMITED 	除草剂、杀虫剂、杀菌剂 	6,210.94   	1.63 											
4 	ADAMA BRASIL S/A 	除草剂 	6,131.90   	1.61 											
4 	ADAMA BRASIL S/A 	除草剂 	6,131.90   	1.61 											
4 	ALLIGARE LLC 	除草剂 	1,212.21 	0.32 											
4 	ALLIGARE LLC 	除草剂 	1,212.21 	0.32 											
5 	COMPANIA ARGENTINA DE GRANOS S.A 	除草剂、杀虫剂、杀菌剂 	12,726.66   	3.35 											
5 	COMPANIA ARGENTINA DE GRANOS S.A 	除草剂、杀虫剂、杀菌剂 	12,726.66   	3.35 											
6 	AGROFINA S.A. 	除草剂、杀虫剂、杀菌剂 	 8,536.93   	2.25 											
6 	AGROFINA S.A. 	除草剂、杀虫剂、杀菌剂 	 8,536.93   	2.25 											
6 	LOS GROBO AGROPECUARIA S.A. 	除草剂、杀菌剂 	2,287.14   	0.60 											
6 	LOS GROBO AGROPECUARIA S.A. 	除草剂、杀菌剂 	2,287.14   	0.60 											
7 	OURO FINO QUÍMICA LTDA 	除草剂 	 8,921.72   	2.35 											
7 	OURO FINO QUÍMICA LTDA 	除草剂 	 8,921.72   	2.35 											
8 	AGROSERVICIOS PAMPEANOS S.A. 	除草剂、杀虫剂、杀菌剂 	8,270.31   	2.18 											
8 	AGROSERVICIOS PAMPEANOS S.A. 	除草剂、杀虫剂、杀菌剂 	8,270.31   	2.18 											
9 	润丰泰国 	除草剂、杀虫剂、杀菌剂 	      8,208.38   	2.16 											
9 	润丰泰国 	除草剂、杀虫剂、杀菌剂 	      8,208.38   	2.16 											
10 	TITAN AG PTY LTD 	除草剂、杀虫剂、杀菌剂 	 6,328.11   	1.66 											
10 	TITAN AG PTY LTD 	除草剂、杀虫剂、杀菌剂 	 6,328.11   	1.66 											
合计 	合计 	- 	157,028.03 	41.30 											
合计 	合计 	- 	157,028.03 	41.30 											
2015 年度 	2015 年度 	2015 年度 	2015 年度 	2015 年度 											
2015 年度 	2015 年度 	2015 年度 	2015 年度 	2015 年度 											
1 	ATANOR S.C.A 	除草剂、杀虫剂 	11,713.30 	4.03 											
1 	ATANOR S.C.A 	除草剂、杀虫剂 	11,713.30 	4.03 											
1 	Albaugh LLC 	除草剂、杀菌剂 	11,187.42 	3.85 											
1 	Albaugh LLC 	除草剂、杀菌剂 	11,187.42 	3.85 											
1 	ATANOR DO BRASIL LTDA 	除草剂 	5,702.41 	1.96 											
1 	ATANOR DO BRASIL LTDA 	除草剂 	5,702.41 	1.96 											
2 	NUFARM S.A 	除草剂、杀虫剂、杀菌剂 	10,539.91 	3.63 											
2 	NUFARM S.A 	除草剂、杀虫剂、杀菌剂 	10,539.91 	3.63 											
2 	NUFARM AUSTRALIA LIMITED 	除草剂 	1,319.86 	0.45 											
2 	NUFARM AUSTRALIA LIMITED 	除草剂 	1,319.86 	0.45 											
2 	NUFARM COLOMBIA S.A. 	除草剂、杀虫剂、杀菌剂 	987.64   	0.34 											
2 	NUFARM COLOMBIA S.A. 	除草剂、杀虫剂、杀菌剂 	987.64   	0.34 											
2 	NUFARM  NZ  DIVISION  OF  NUFARM LIMITED 	除草剂 	416.20   	0.14 											
2 	NUFARM  NZ  DIVISION  OF  NUFARM LIMITED 	除草剂 	416.20   	0.14 											
2 	NUFARM MALAYSIA SDN BHD   	除草剂 	56.09   	0.02 											
2 	NUFARM MALAYSIA SDN BHD   	除草剂 	56.09   	0.02 											
3 	FMC QUÍMICA DO BRASIL LTDA 	除草剂 	8,545.12 	2.94 											
3 	FMC QUÍMICA DO BRASIL LTDA 	除草剂 	8,545.12 	2.94 											
3 	CHEMINOVA AGRO DE COLOMBIA S.A. 	除草剂、杀虫剂、杀菌剂 	2,013.88 	0.69 											
3 	CHEMINOVA AGRO DE COLOMBIA S.A. 	除草剂、杀虫剂、杀菌剂 	2,013.88 	0.69 											
3 	CHEMINOVA AUSTRALIA PTY LTD 	除草剂 	531.79 	0.18 											
3 	CHEMINOVA AUSTRALIA PTY LTD 	除草剂 	531.79 	0.18 											
4 	AGROFINA S.A. 	除草剂、杀虫剂、杀菌剂 	 9,129.51   	3.14 											
