泰安市弘亚电子有限公司 	线束加工 	22.85 	0.13% 								
青岛斑科变频技术有限公司 	控制板贴片 	13.85 	0.08% 								
青岛斑科变频技术有限公司 	控制板贴片 	13.85 	0.08% 								
青岛高校山柏科技有限公司 	控制板贴片 	2.82 	0.02% 								
青岛高校山柏科技有限公司 	控制板贴片 	2.82 	0.02% 								
苏州市华郡电器有限公司 	线束加工 	0.97 	0.01% 								
苏州市华郡电器有限公司 	线束加工 	0.97 	0.01% 								
山东格海电子有限公司 	控制板贴片 	0.13 	- 								
山东格海电子有限公司 	控制板贴片 	0.13 	- 								
合计 	- 	103.21 	0.58% 								
合计 	- 	103.21 	0.58% 								
2015年度 	2015年度 	2015年度 	2015年度 								
2015年度 	2015年度 	2015年度 	2015年度 								
泰安市弘亚电子有限公司 	线束加工 	60.43 	0.62% 								
泰安市弘亚电子有限公司 	线束加工 	60.43 	0.62% 								
青岛木禾微电子有限公司 	控制板贴片 	4.50 	0.05% 								
青岛木禾微电子有限公司 	控制板贴片 	4.50 	0.05% 								
山东格海电子有限公司 	控制板贴片 	0.95 	0.01% 								
山东格海电子有限公司 	控制板贴片 	0.95 	0.01% 								
青岛恒泽电子有限公司 	传感器加工 	0.70 	0.01% 								
青岛恒泽电子有限公司 	传感器加工 	0.70 	0.01% 								
合计 	- 	66.59 	0.69% 								
合计 	- 	66.59 	0.69% 								
											
序号 	厂商名称 	注册时间 	注册地 	注册资本 	主营业务 	股权结构 					
1 	青岛木禾微电子有限公司 	2012/11/06 	青岛市城阳区夏庄街道银河路307号 	1,000 	加工、销售电子设备及配件、机械设备及配件、电子元件、塑料制品、橡胶制品等 	李科80%；青岛京大金融投资有限公司20% 					
1 	青岛木禾微电子有限公司 	2012/11/06 	青岛市城阳区夏庄街道银河路307号 	1,000 	加工、销售电子设备及配件、机械设备及配件、电子元件、塑料制品、橡胶制品等 	李科80%；青岛京大金融投资有限公司20% 					
序号 	厂商名称 	注册时间 	注册地 	注册资本 	主营业务 	股权结构 					
2 	青岛沣汇电子有限公司 	2010/6/11 	青岛市黄岛区灵山卫街道办事处北门外村 	1,030 	电子产品设计、研发、生产制造,焊接加工,SMT贴片加工等 	尹怀彬36.89%； 何振福22.33%； 金志佐22.33%； 薛永智6.80%； 尹素文3.88%； 魏茂新3.88%； 杜兴成0.97%； 赵本山0.97%； 王芳0.97%； 丁台青0.97%； 					
2 	青岛沣汇电子有限公司 	2010/6/11 	青岛市黄岛区灵山卫街道办事处北门外村 	1,030 	电子产品设计、研发、生产制造,焊接加工,SMT贴片加工等 	尹怀彬36.89%； 何振福22.33%； 金志佐22.33%； 薛永智6.80%； 尹素文3.88%； 魏茂新3.88%； 杜兴成0.97%； 赵本山0.97%； 王芳0.97%； 丁台青0.97%； 					
3 	希革斯电子（湖北）有限公司 	2017/01/13 	孝感市孝汉大道怀仁路168号 	160,000（日元） 	生产、加工、组装电子回路基板、电子机器，成型件、铸造件、冲压件、电池熔接、电气配线箱、电子设备及其配件等 	希革斯株式会社100% 					
3 	希革斯电子（湖北）有限公司 	2017/01/13 	孝感市孝汉大道怀仁路168号 	160,000（日元） 	生产、加工、组装电子回路基板、电子机器，成型件、铸造件、冲压件、电池熔接、电气配线箱、电子设备及其配件等 	希革斯株式会社100% 					
4 	山东弘亚电子有限公司 	2017/01/09 	山东省莱芜市莱城区高庄街道办事处南冶村方正工业园 	300 	电线加工、销售(国家限制类除外);吸音棉、保温棉、散热器、铜管的加工销售等 	王雪娇50%；亓永涛50% 					
4 	山东弘亚电子有限公司 	2017/01/09 	山东省莱芜市莱城区高庄街道办事处南冶村方正工业园 	300 	电线加工、销售(国家限制类除外);吸音棉、保温棉、散热器、铜管的加工销售等 	王雪娇50%；亓永涛50% 					
5 	深南电路股份有限公司 	1984/07/03 	深圳市南山区侨城东路99号 	28,000 	印刷电路板、封装基板产品、模块模组封装产品、电子装联产品等 	上市公司，主要股东为中航国际控股股份有限公司，持股69.74% 					
5 	深南电路股份有限公司 	1984/07/03 	深圳市南山区侨城东路99号 	28,000 	印刷电路板、封装基板产品、模块模组封装产品、电子装联产品等 	上市公司，主要股东为中航国际控股股份有限公司，持股69.74% 					
6 	青岛润世电子科技有限公司 	2015/5/18 	山东省青岛市黄岛区昆仑山路968号2栋 	100 	销售:电子设备、电子产品等 	潘志波60%；张秀华40% 					
6 	青岛润世电子科技有限公司 	2015/5/18 	山东省青岛市黄岛区昆仑山路968号2栋 	100 	销售:电子设备、电子产品等 	潘志波60%；张秀华40% 					
7 	泰安市弘亚电子有限公司 	2014/09/18 	泰安市泰山区上高街道办事处小井村南(原野马纺织公司对过)号 	50 	电线加工、设计、研发、销售,五金交电、电子配件、机电设备、润滑油、电线电缆、机械配件、模具的批发零售等 	亓元涛50%、李伟锋50% 					
7 	泰安市弘亚电子有限公司 	2014/09/18 	泰安市泰山区上高街道办事处小井村南(原野马纺织公司对过)号 	50 	电线加工、设计、研发、销售,五金交电、电子配件、机电设备、润滑油、电线电缆、机械配件、模具的批发零售等 	亓元涛50%、李伟锋50% 					
8 	青岛斑科变频技术有限公司 	2005/9/27 	山东省青岛市黄岛区黄河西路689号220室 	500 	电子产品生产、开发、销售;计算机软硬件开发、销售等 	青岛智勤达投资有限公司70%、青岛斑科资产管理中心（有限合伙）30% 					
8 	青岛斑科变频技术有限公司 	2005/9/27 	山东省青岛市黄岛区黄河西路689号220室 	500 	电子产品生产、开发、销售;计算机软硬件开发、销售等 	青岛智勤达投资有限公司70%、青岛斑科资产管理中心（有限合伙）30% 					
9 	青岛高校山柏科技有限公司 	1998/12/15 	青岛市四方区郑州路14号甲 	200 	电子产品生产、开发;计算机软硬件技术开发、销售等 	孙四通74%；金青滨10%；王冬梅8%；薛建艳5%；李国鹏3% 					
9 	青岛高校山柏科技有限公司 	1998/12/15 	青岛市四方区郑州路14号甲 	200 	电子产品生产、开发;计算机软硬件技术开发、销售等 	孙四通74%；金青滨10%；王冬梅8%；薛建艳5%；李国鹏3% 					
序号 	厂商名称 	注册时间 	注册地 	注册资本 	主营业务 	股权结构 					
10 	山东格海电子有限公司 	2012/11/22 	济南市市中区党家庄镇大庙屯 	300 	集成电路、光电子器件及仪器仪表的设计、制造、销售等 	彭树青90.89%；郑静9.11% 					
10 	山东格海电子有限公司 	2012/11/22 	济南市市中区党家庄镇大庙屯 	300 	集成电路、光电子器件及仪器仪表的设计、制造、销售等 	彭树青90.89%；郑静9.11% 					
											
销售模式 	2017 年 	2017 年 	2016 年 	2016 年 	2015 年 	2015 年 					
销售模式 	销售金额 	占比 	销售金额 	占比 	销售金额 	占比 					
招投标方式 	31,230.03 	76.21% 	23,406.80 	77.62% 	10,272.32 	62.65% 					
洽谈方式 	9,749.07 	23.79% 	6,747.25 	22.38% 	6,124.70 	37.35% 					
主营业务收入 	40,979.10 	100.00% 	30,154.05 	100.00% 	16,397.02 	100.00% 					
											
部门 	职能 										
国家发改委 	拟定相关产业政策和发展规划，指导调整行业结构，实施行业管理，引导行业技术方向等工作，推进通用设备制造业的可持续发展，协调节能减排、能源资源节约、生态环境建设等综合利用，参与编制环境保护、能源资源节约和综合利用的重大问题。 										
交通运输部 	推进综合交通运输体系建设，统筹规划铁路、公路、水路、民航以及邮政行业发展，建立与综合交通运输体系相适应的制度体制机制，组织制定道路、水路运输有关政策、准入制度、技术标准和运营规范并监督实施。 										
国家铁路局 	参与研究铁路发展规划、政策和体制改革工作，组织拟订铁路技术标准并监督实施，负责铁路安全生产监督管理，制定铁路运输安全、工程质量安全和设备质量安全监督管理办法并组织实施，负责组织监测分析铁路运行情况，开展铁路行业统计工作等。 										
国家工信部 	拟订实施行业规划、产业政策和标准，监测工业行业日常运行，推动重大技术装备发展和自主创新，管理通信业，指导推进信息化建设，协调维护国家信息安全等。 										
住房和城乡建设部 	指导城市地铁、轨道交通的规划和建设。 										
中国城市轨道交通协会 	发挥提供服务、反映诉求、规范行为的作用,在政府与会员之间搭建交流平台,发挥桥梁、纽带作用，竭诚为政府、为企业、为城市、为行业服务。 										
											
时间 	文件名称 	发文单位 	主要内容 								
2016年 	《中国人民共和国节约能源法》 	全国人民代表大会常务委员会 	明确指出节约资源是我国的基本国策。国家实施节约与开发并举、把节约放在首位的能源发展战略，鼓励、支持开发和利用新能源、可再生能源，并对工业节能、建筑节能、交通运输节能、公共机构节能等作了明确的规定。 								
2012年 	《铁路产品认证管理办法》 	交通运输部 	国家对未设定行政许可事项的有关铁路产品实行产品认证管理，由具备法定资质的认证机构对相关铁路产品是否符合标准和技术规范要求实施合格评定活动。 								
2005年 	《城市轨道交通运营管理办法》 	住房和城乡建设部 	拟订城乡规划的政策和规章制度；组织编制和监督实施全国城镇体系规划；指导城乡规划编制并监督实施；指导城市勘察、市政工程测量、城市地下空间开发利用和城市雕塑工作；承担国务院交办的城市总体规划、省域城镇体系规划的审查报批和监督实施。 								
1991年 	《中华人民共和国铁路法》 	全国人民代表大会常务委员会 	国务院铁路主管部门主管全国铁路工作，对国家铁路实行高度集中、统一指挥的运输管理体制，并负责指定国家铁路的技术管理规程。国家鼓励铁路科学技术研究，提高铁路科学技术水平。 								
											
时间 	文件名称 	发文单位 	主要内容 								
2017 年 	《十三五现代综合交通运输体系发展规划》 	国务院 	构建横贯东西、纵贯南北、内畅外通的十纵十横综合运输大通道，加快实施重点通道连通工程和延伸工程，到 2020 年，基本建成安全、便捷、高效、绿色的现代综合交通运输体系，部								
											
分地区和领域率先基本实现交通运输现代化。 											
完善铁路标准体系，鼓励企业将科研成果转化为标准；深化标准化基础性研究工作，开展新技术、关键装备、国际先进标准等方面的基础性研究，加强前瞻性技术研究和储备。 											
提出，在城镇化地区大力发展城际铁路、市域（郊）铁路，鼓励利用既有铁路开行城际列车，形成多层次轨道交通骨干网络，高效衔接大中小城市和城镇。实行公共交通优先，加快发展城市轨道交通、快速公交等大容量公共交通，鼓励绿色出行。 											
指出，强化轨道交通装备领先地位。推进轨道交通装备产业智能化、绿色化、轻量化、系列化、标准化、平台化发展，加快新技术、新工艺、新材料的应用，研制先进可靠的系列产品，完善相关技术标准体系，构建现代轨道交通装备产业创新体系，打造覆盖干线铁路、城际铁路、市域（郊）铁路、城市轨道交通的全产业链布局。 											
到 2020 年，一批重大标志性项目建成投产，铁路网规模达到 15 万公里，其中高速铁路 3 万公里，覆盖 80%以上的大城市，为完成十三五规划任务、实现全面建成小康社会目标提供有力支撑。到 2025 年，铁路网规模达到 17.5 万公里左右，其中高速铁路 3.8 万公里左右，网络覆盖进一步扩大，路网结构更加优化，骨干作用更加显著，更好发挥铁路对经济社会发展的保障作用。展望到 2030 年，基本实现内外互联互通、区际多路畅通、省会高铁连通、地市快速通达、县域基本覆盖。 											
坚持新建与扩能同步，通达与通畅并重，通道与枢纽并举，国内与对外并进，补短板、疏瓶颈、强骨干、优衔接、提质量，推进交通基础设施重大工程建设，完善层次明晰、衔接高效、功能完备的综合交通运输体系。 											
指出，城市公共交通发展的愿景是，全面建成适应经济社会发展和公众出行需要，与我国城市功能和城市形象相匹配的现代化城市公共交通体系，使群众出行满意，行业发展可持续。到 2020 年，初步建成适应全面建成小康社会需求的现代化城市公共交通体系。 											
推进交通运输低碳发展，实行公共交通优先，加强轨道交通建设，鼓励自行车等绿色出行。实施新能源汽车推广计划，提高电动车产业化水平。 											
加快铁路走出去步伐，拓展轨道交通装备国际市场，发挥我国在铁路设计、施工、装备供应、运营维护及融资等方面的综合优势；积极开发和实施城市轨道交通项目，扩大城市轨道											
交通车辆国际合作，在有条件的重点国家建立装配、维修基地和研发中心；加快轨道交通装备企业整合，提升骨干企业国际经营能力和综合实力。 											
明确通过政府引导、整合资源,实施国家制造业创新中心建设、智能制造、工业强基、绿色制造、高端装备创新等五项重大工程,实现长期制约制造业发展的关键共性技术突破,提升我国制造业的整体竞争力。 											
强调节能标准是国家节能制度的基础，是提升经济质量效益、推动绿色低碳循环发展的重要手段。提出坚持标杆引领，研究和制定关键节能技术、产品和服务标准，发挥标准对节能环保等新兴产业的引领作用。加快修订各行业节能标准，形成覆盖生产设备节能、节能监测与管理、能源管理与审计等方面的标准体系。 											
指出要按照前瞻性和系统性要求，线网规划应统筹人口分布、交通需求等情况，确定城市轨道交通的发展目标、发展模式、功能定位等；确定城市轨道交通线路走向、主要换乘节点、资源共享和用地控制要求，实现与城市人口分布、空间布局、土地利用相协调；做好城市轨道交通与主要铁路客站和机场等综合交通枢纽的衔接。 											
到 2020 年，普通铁路网覆盖 20 万以上人口城市，快速铁路网基本覆盖 50 万以上人口城市。 											
指出要完善综合交通运输规划编制机制。制定出台综合交通运输规划编制与实施办法。建立跨区域的交通运输规划编制协调机制。落实国家规划、政策、规定，完善各种运输方式规划编制工作机制，加强铁路、公路、水路、民航、邮政发展的统筹规划。 											
取消国家发改委企业投资城市轨道交通车辆、信号系统和牵引传动控制系统制造项目核准；国家发改委企业投资城市快速轨道交通项目按照国家批准的规划核准下放省级投资主管部门。 											
围绕重点领域，促进节能环保产业发展水平全面提升；发挥政府带动作用，引领社会资金投入节能环保工程建设；推广节能环保产品，扩大市场消费需求；加强技术创新，提高节能环保产业市场竞争力；强化约束激励，营造有利的市场和政策环境。 											
在发展方向上着眼五个细分行业，其中含高速铁路和智能装备。力争到 2020 年，高端装备制造业销售产值占装备制造业销售产值的 30%以上，国内市场满足了超过 25%。 											
将开展对高速列车轻量化和整车性能提升关键技术的研究。 											
											
2017 年 	《 铁 路 标 准 化十三五发展规划》 	国家铁路局 									
2016 年 	《中华人民共和国国民经济和社会发展第十三个五年规划纲要》 	国家发改委 									
2016 年 	《十三五国家战略性新兴产业发展规划》 	国务院 									
2016 年 	《中长期铁路网规划（2016-2030）》  	国务院 									
2016 年 	《交通基础设施重大工程建设三年行动计划》 	国家发改委、交通运输部 									
2016 年 	《城市公共交通十三五发展纲要》 	交通运输部 									
2015 年 	《中共中央关于制定国民经济和社会发展第十三个五年规划的建议》 	中国共产党第十八届中央委员会第五次全体会议 									
2015 年 	《关于推进国际产能和装备制造合 作 的 指 导 意见》 	国务院 									
											
2015 年 	《中国制造2025》 	国务院 									
2015 年 	《国务院办公厅关于加强节能标准 化 工 作 的 意见》 	国务院 									
2015 年 	《国家发展改革委关于加强城市轨道交通规划建设管理的通知》 	国家发改委 									
2014 年 	《国家新型城镇化规划（2014-2020）》  	国务院 									
2014 年 	《关于全面深化交通运输改革的意见》 	交通运输部 									
2013 年 	《国务院关于取消和下放一批行政审批项目等事项的决定》 	国务院 									
2013 年 	《国务院关于加快发展节能环保产业的意见》 	国务院 									
2012 年 	《十二五高端装备制造业产业发展规划》 	工信部 									
2012 年 	《高速列车科技发展十二五专	科技部 									
											
项规划》 											
《轨道交通装备产业十二五发展规划》 	工信部 	明确提出加快转型升级、加强技术创新、夯实产业基础、提升现代服务四大基本发展原则，要求我国轨道交通装备产业以技术先进、安全可靠、经济适用、节能环保为发展方向，力争实现由价值链低端向高端的跃升，发展成为国际先进的高端产业。 									
《产业结构调整指导目录（2011年本）》 	国家发改委 	将城市轨道交通装备类列为鼓励类，该大类中包括城市轨道交通减震、降噪技术应用。   									
《国务院关于加快培育和发展战略性新兴产业的决定》 	国务院 	重点开发推广高效节能技术装备及产品，实现重点领域关键技术突破，带动能效整体水平的提高。强调依托客运专线和城市轨道交通等重点工程建设，大力发展轨道交通装备。 									
《关于进一步推进城市轨道交通装备制造业健康发 展 的 若 干 意见》 	国家发改委 	强调十二五期间，自主开发和引进技术消化吸收再创新的产品成为城市轨道交通装备的主流产品，关键装备技术接近或达到国际先进水平。 									
											
2012 年 											
2011 年 											
2010 年 											
2010 年 											
											
阶段 	发展阶段 	时间 	特点 								
第一阶段 	发展初期 	20 世纪 60 年代至80 年代 	日本、法国、意大利、德国等国家相继建成高速铁路近 3,000 公里 								
第二阶段 	欧洲形成修建高速铁路的热潮 	20 世纪 80 年代末至 90 年代中期 	修建高速铁路的国家扩展到英国、西班牙、比利时、荷兰、瑞典等国，这一时期建成高速铁路约 1,500 公里 								
第三阶段 	第三次浪潮 	20 世纪 90 年代后期至今 	正在修建和规划修建高速铁路的国家和地区达 20 多个，亚洲、美洲、澳洲等地掀起了世界范围内建设高速铁路的热潮，多国政府制定了全国性的整体修建规划 								
											
类别 	纽约 	伦敦 	东京 	巴黎 							
地铁 	373 	408 	312 	217 							
											
序号 	公司名称 	基本情况简介 	技术水平 								
1 	石家庄国祥运输设备有限公司 	成立于 2003 年 7 月，注册资本4552.6316 万美元。经营范围为设计、生产和维修采暖设备、运输设备、电子仪器、制冷空调通风设备等轨道车辆专用设备及零配件，销售自产产品。 	国家认定的高新技术企业，拥有业内强大的研发队伍和先进而完备的试验、检验设备，自主研发，自有知 识 产 权 ， 已 通 过ISO/TS22163:2017 国际铁路行业标准认证,并通过欧洲 EN15085 焊接体系认证、CRCC 中铁铁路产品认证、ISO14000 环 境 管 理 体 系 认 证 、OHSAS18000 职业健康安全管理体系认证、ISO3834 焊接管理体系认证和 ISO9001 质量管理体系认证。 								
2 	广州中车轨道交通空调装备有限公司 	成立于 2014 年 9 月,注册资本15,000 万元。经营范围为制冷、空调设备制造；工业设计服务；机电设备安装服务；通用设备修理；专用设备修理;机械零部件加工；铁路机车车辆配件制造；汽车零配件零售；摩托车零配件零售；建材、装饰材料批发；五金零售；纺织品及针织品零售；百货零售（食品零售除外）；货物进出口（专营专控商品除外）；通用机械设备销售；交通运输咨询服务；招、投标咨询服务；场地租赁（不含仓储）；机械技术咨询、交流服务。 	国 家 级 高 新 技 术 企 业 ， 并 通过ISO/TS22163:2017 国际铁路行业标准认证、ISO9001 质量管理体系认证、EN15085 焊接体系认证、CRCC中铁铁路产品认证。 								
3 	上海法维莱交通车辆设备有限公司 	成立于 1994 年 7 月,注册资本1050 万德国马克。经营范围为研究、设计、生产列车空调机组和其它车用设备；销售自产产品并进行维修服务。 	在生产供铁路干线、城市轨道交通使用的加热设备、通风设备、空调设备和车门系统等产品方面处于国内领先地位，基于专业人才队伍、高质量工程管理、有力技术支持，为客户提供从设计到售后服务的一整套优良服务。 								
4 	金鑫美莱克空调系统（无锡）有限公司 	成立于 2008 年 6 月，注册资本428.6 万欧元。经营范围为长途铁路车辆（高速列车、常规客车、机车）以及轨道交通车辆（地铁和轻轨）的采暖通风空调设备及其零部件的生产，以及提供售后服务；自营和代理各类商品及技	主要从事地铁、轻轨等轨道车辆车载空调系统的设计和制造，向客户提供高品质和超稳定的技术方案，在欧洲及中国市场有众多成功的项目。 								
											
合同签署年份 	主要线路 	整个线路空调需求数量（套） 	与发行人签订合同采购数量（套） 	数量占比 							
2014 年 	福州地铁 1 号线 	336 	336 	100.00% 							
2014 年 	郑州地铁 2 号线 	216 	216 	100.00% 							
2015 年 	苏州地铁 1 号线 	276 	176 	63.77% 							
2015 年 	上海地铁 13 号线 	648 	456 	70.37% 							
2016 年 	上海地铁 9 号线 	736 	432 	58.70% 							
2016 年 	乌鲁木齐地铁 1 号线 	324 	324 	100.00% 							
合同签署年份 	主要线路 	整个线路空调需求数量（套） 	与发行人签订合同采购数量（套） 	数量占比 							
2016 年 	贵阳地铁 1 号线 	408 	408 	100.00% 							
2016 年 	广州地铁 13 号线 	272 	272 	100.00% 							
2016 年 	青岛地铁 11 号线 	320 	320 	100.00% 							
2016 年 	伊兹密尔地铁 	190 	190 	100.00% 							
2016 年 	上海地铁 12 号线 	480 	180 	37.50% 							
2017 年 	福州地铁 2 号线 	372 	372 	100.00% 							
2017 年 	沈阳地铁 9 号线 	324 	324 	100.00% 							
2017 年 	沈阳地铁 10 号线 	360 	360 	100.00% 							
合 计 	合 计 	5,262 	4,366 	82.97% 							
											
产品 	项目 	2017年度 	2016年度 	2015年度 							
轨道交通空调 	产能（套） 	3,000 	2,500 	2,000 							
轨道交通空调 	产量（套） 	3,297 	1,972 	1,244 							
轨道交通空调 	销量（套） 	3,227 	2,060 	1,258 							
轨道交通空调 	产能利用率 	109.90% 	78.88% 	62.20% 							
轨道交通空调 	产销率 	97.88% 	104.46% 	101.13% 							
变频控制器 	产能（套） 	200,000 	200,000 	200,000 							
变频控制器 	产量（套） 	236,873 	241,310 	189,834 							
变频控制器 	销量（套） 	241,164 	236,253 	190,787 							
变频控制器 	产能利用率 	118.44% 	120.66% 	94.92% 							
变频控制器 	产销率 	101.81% 	97.90% 	100.50% 							
											
项目 	2017 年度 	2017 年度 	2016 年度 	2016 年度 	2015 年度 	2015 年度 					
项目 	金额 	占比 	金额 	占比 	金额 	占比 					
轨道交通空调 	36,723.05 	89.61% 	26,066.49 	86.44% 	13,193.52 	80.46% 					
变频控制器 	2,815.98 	6.87% 	3,014.04 	10.00% 	2,505.46 	15.28% 					
维护服务 	1,440.06 	3.51% 	1,011.68 	3.36% 	581.64 	3.55% 					
商用空调 	- 	- 	61.83 	0.21% 	116.40 	0.71% 					
合计 	40,979.10 	100.00% 	30,154.05 	100.00% 	16,397.02 	100.00% 					
											
项目 	2017 年 	2016 年 	2015 年 								
轨道交通空调（万元/套） 	10.87 	12.12 	9.98 								
变频控制器（元/套） 	153.27 	153.34 	146.53 								
											
序号 	客户名称 	销售收入 	占营业收入比例 	销售内容 	销售定价 	主要定价依据 	是否新增客户 				
2017 年度 	2017 年度 	2017 年度 	2017 年度 	2017 年度 	2017 年度 	2017 年度 	2017 年度 				
1 	中车系客户* 	29,518.75 	71.65% 	- 	- 	- 	- 				
2 	成都长客新筑轨道交通装备有限公司 	3,662.92 	8.89% 	轨道交通空调 	招标 	成本及类似项目售价 	否 				
3 	长春长客-庞巴迪轨道车辆有限公司 	2,856.48 	6.93% 	轨道交通空调 	洽谈议价 	成本及类似项目售价 	是 				
4 	台湾永翊泰股份有限公司 	1,148.58 	2.79% 	家用控制器 	洽谈议价 	年度谈判定价 	否 				
5 	意大利 OLIMPIA 空调公司 	1,078.33 	2.62% 	家用控制器 	洽谈议价 	年度谈判定价 	否 				
6 	申通北车（上海）轨道交通车辆维修有限公司 	449.00 	1.09% 	轨道空调架修 	招标 	成本及类似项目售价 	否 				
7 	浙江博阳压缩机有限公司 	391.93 	0.95% 	汽车控制器 	洽谈议价 	年度谈判定价 	否 				
8 	天津电力机车有限公司 	324.58 	0.79% 	维护维修 	洽谈议价 	年度谈判定价 	否 				
9 	山西汇众达机电技术有限公司 	205.01 	0.50% 	轨道交通空调 	洽谈议价 	成本和市场对比 	否 				
10 	沈阳地铁集团有限公司运营分公司 	201.60 	0.49% 	轨道空调架修 	招标 	成本及类似项目售价 	否 				
合 计 	合 计 	39,837.17 	96.70% 	- 	- 	- 	 				
其中中车系客户*具体包括： 	其中中车系客户*具体包括： 	其中中车系客户*具体包括： 	其中中车系客户*具体包括： 	其中中车系客户*具体包括： 	其中中车系客户*具体包括： 	其中中车系客户*具体包括： 	其中中车系客户*具体包括： 				
1-1 	中车长春轨道客车股份有限公司 	8,398.95 	20.39% 	轨道交通空调 	招标 	成本及类似项目售价 	否 				
1-2 	南京中车浦镇城轨车辆有限责任公司 	5,064.91 	12.29% 	轨道交通空调 	招标 	成本及类似项目售价 	否 				
1-3 	中车株洲电力机车有限公司 	4,869.35 	11.82% 	轨道交通空调 	招标 	成本及类似项目售价 	否 				
1-4 	中车青岛四方机车车辆股份有限公司 	4,799.26 	11.65% 	轨道交通空调 	招标 	成本及类似项目售价 	否 				
1-5 	中车大连机车车辆有限公司 	3,590.28 	8.71% 	轨道交通空调 	招标 	成本及类似项目售价 	否 				
1-6 	泉州中车唐车轨道车辆有限公司 	994.00 	2.41% 	轨道交通空调 	招标 	成本及类似项目售价 	否 				
序号 	客户名称 	销售收入 	占营业收入比例 	销售内容 	销售定价 	主要定价依据 	是否新增客户 				
1-7 	中车唐山机车车辆有限公司 	960.44 	2.33% 	轨道交通空调 	招标 	成本及类似项目售价 	否 				
1-8 	中车四方车辆有限公司 	408.00 	0.99% 	轨道交通空调 	招标 	成本及类似项目售价 	否 				
1-9 	中车系其他公司 	433.57 	1.05% 	- 	- 	- 	 				
合 计 	合 计 	29,518.75 	71.65% 	- 	- 	- 	- 				
2016 年度 	2016 年度 	2016 年度 	2016 年度 	2016 年度 	2016 年度 	2016 年度 	2016 年度 				
1 	中车系客户* 	25,420.58 	84.09% 	- 	- 	- 	- 				
2 	意大利 OLIMPIA 空调公司 	1,220.61 	4.04% 	家用控制器 	洽谈议价 	年度谈判定价 	否 				
3 	台湾永翊泰股份有限公司 	1,080.99 	3.58% 	家用控制器 	洽谈议价 	年度谈判定价 	否 				
4 	北京精雕科技集团有限公司 	543.09 	1.80% 	工业控制器 	洽谈议价 	年度谈判定价 	否 				
