4 	《国务院关于促进健康服务业发展的若干意见》 	国务院 	2013年 9 月 	到 2020 年，基本建立覆盖全生命周期、内涵丰富、结构合理的健康服务业体系，打造一批知名品牌和良性循环的健康服务产业集群，并形成一定的国际竞争力，基本满足广大人民群众的健康服务需求。健康服务业总规模达到 8 万亿元以上，成为推动经济社会持续发展的重要力量。 						
5 	《中国制造 2025》 	国务院 	2015年 5 月 	推进制造过程智能化，在重点领域试点建设智能工厂/数字化车间，加快人机智能交互、工业机器人、智能物流管理、增材制造等技术和装备在生产过程中的应用，促进制造工艺的仿真优化、数字化控制、状态信息实时监测和自适应控制。 						
6 	《国民经济和社会发展第十三个五年（2016-2020 年）规划纲要》 	国务院 	2016年 3 月 	加快突破智能制造等核心技术领域，深入实施《中国制造 2025》，以提高制造业创新能力和基础能力为重点，推进信息技术与制造技术深度融合，促进制造业朝高端、智能、绿色、服务方向发展，培育制造业竞争新优势。 						
7 	《“十三五”国家科技创新规划》 	国务院 	2016年 7 月 	以提升原始创新能力和支撑重大科技突破为目标，加强大型科学仪器设备、实验动物、科研试剂、创新方法等保障研究开发的科研条件建设，夯实科技创新的物质和条件基础，提升科研条件保障能力。强化重大科研仪器设备、核心技术和关键部件研制与开发。开展下一代机器人技术、智能机器人学习与认知、人机自然交互与协作共融等前沿技术研						
										
究，攻克核心部件关键技术，工业机器人实现产业化，服务机器人实现产品化，特种机器人实现批量化应用。 										
支持建设 10 家以上针对医疗器械离散化制造特点的自动化生产示范车间，改变多数医疗器械以人工组装、人工测试为主的状况，提高机械组装水平，实现自动化物料配送、质量检测和定制生产，系统提升医疗器械的稳定性和可靠性。 										
引导有基础、有条件的中小企业推进生产线自动化改造，开展管理信息化和数字化升级试点应用。建立龙头企业引领带动中小企业推进自动化、信息化的发展机制，提升中小企业智能化水平。 										
要突出解决我国高端装备、高值耗材大量依赖进口的问题，实现高端医用高值材料等产品的自主制造，加快新型产品开发，打破进口垄断，包括重点开发高质量、低成本的血液透析机、血液透析滤过机、透析器/滤器/灌流器；重点解决国产血液透析设备及透析器/灌流器稳定性、批量生产工艺性和核心部件问题。 										
										
8 	《医药工业发展规划指南》 	工业和信息化部、国家发改委、科学技术部、商务部、国家 卫生和 计划生育委员会、国家食品 药品监 督管理总局 	2016年 10月 							
9 	《智能制造发展规划（ 2016-2020 年）》 	工业和信息化部、财政部 	2016年 12月 							
10 	《“十三五”医疗器械科技创新专项规划》 	科技部 	2017年 5 月 							
										
智能化程度 										
单机设备 连线机设备（目前阶段） 全自动生产线 智能工厂 										
										
技术层次 	动力驱动 	优缺点 								
第一层次 （目前阶段） 	气缸为主 	优点：便于技术方案调整，可满足不同需求 缺点：速度较慢、相对不稳定、能耗大 								
第二层次 	机 械 传 动 为主 	优点：速度较快、相对稳定、能耗较小 缺点：要求生产技术较为标准、统一 								
第三层次 	电+气缸+机械传动组合 	优点：速度快、稳定、能耗小，可满足不同需求 缺点：成本高 								
										
智能化程度 										
单机设备 连线机设备（目前阶段） 全自动生产线 智能工厂 										
										
技术层次 	动力驱动 	优缺点 								
第一层次 （目前阶段） 	气缸为主 	优点：便于技术方案调整，可满足不同需求 缺点：速度较慢、相对不稳定、能耗大 								
第二层次 	机 械 传 动 为主 	优点：速度较快、相对稳定、能耗较小 缺点：要求生产技术较为标准、统一 								
第三层次 	电+气缸+机械传动组合 	优点：速度快、稳定、能耗小，可满足不同需求 缺点：成本高 								
										
产品类别 	产品类别 	2017 年 	2017 年 	2017 年 	2016 年 	2016 年 	2016 年 	2015 年 	2015 年 	2015 年 
产品类别 	产品类别 	产量 (台) 	销量 (台) 	产销率 	产量 (台) 	销量 (台) 	产销率 	产量 (台) 	销量 (台) 	产销率 
单机 	安全输注类 	45 	48 	106.67% 	34 	34 	100.00% 	50 	51 	102.00% 
单机 	血液净化类 	2 	1 	50.00% 	2 	2 	100.00% 	0 	0 	- 
单机 	其他 	0 	0 	- 	0 	0 	- 	1 	0 	0.00% 
单机 	小计 	47 	49 	104.26% 	36 	36 	100.00% 	51 	51 	100.00% 
连线机 	安全输注类 	60 	60 	100.00% 	39 	37 	94.87% 	35 	35 	100.00% 
连线机 	血液净化类 	10 	10 	100.00% 	6 	6 	100.00% 	2 	2 	100.00% 
连线机 	其他 	0 	0 	- 	1 	0 	0.00% 	5 	5 	100.00% 
连线机 	小计 	70 	70 	100.00% 	46 	43 	93.48% 	42 	42 	100.00% 
合计 	合计 	117 	119 	101.71% 	82 	79 	96.34% 	93 	93 	100.00% 
										
项目 	2017 年 	2016 年 	2015 年 							
电工、钳工、调试技工人数（人）[注 1] 	71 	52 	54 							
理论生产工时（小时）[注 2] 	  198,800   	138,320 	143,640 							
实际生产工时（小时）[注 3] 	  195,193   	132,055 	138,405 							
实际生产工时/理论生产工时（%） 	98.19% 	95.47% 	96.36% 							
										
产品分类 	产品分类 	项目 	2017 年度 	2016 年度 	2015 年度 					
单机 	安全输注类 	销售数量（台） 	48.00 	34.00 	51.00 					
单机 	安全输注类 	销售单价（万元/台） 	89.04 	84.94 	85.51 					
单机 	安全输注类 	销售收入（万元） 	4,273.73 	2,888.05 	4,360.93 					
单机 	血液净化类 	销售数量（台） 	1.00 	2.00 	- 					
单机 	血液净化类 	销售单价（万元/台） 	82.05 	69.87 	- 					
单机 	血液净化类 	销售收入（万元） 	82.05 	139.74 	- 					
连线机 	安全输注类 	销售数量（台） 	60.00 	37.00 	35.00 					
连线机 	安全输注类 	销售单价（万元/台） 	147.78 	250.04 	211.47 					
连线机 	安全输注类 	销售收入（万元） 	8,866.79 	9,251.54 	7,401.45 					
连线机 	血液净化类 	销售数量（台） 	10.00 	6.00 	2.00 					
连线机 	血液净化类 	销售单价（万元/台） 	338.03 	198.26 	489.74 					
连线机 	血液净化类 	销售收入（万元） 	3,380.34 	1,189.56 	979.49 					
连线机 	其他 	销售数量（台） 	- 	- 	5.00 					
连线机 	其他 	销售单价（万元/台） 	- 	- 	230.77 					
连线机 	其他 	销售收入（万元） 	- 	- 	1,153.85 					
										
年度 	序号 	客户名称 	产品内容 	销售额（万元） 	占营业收入比例（%） 					
2017 年 	1 	江西洪达 	安全输注类智能装备、 血液净化类智能装备 	4,427.48 	25.53 					
2017 年 	2 	上海金塔 	安全输注类智能装备 	1,807.13 	10.42 					
2017 年 	3 	山东威高 	安全输注类智能装备、 血液净化类智能装备 	1,540.40 	8.88 					
2017 年 	4 	千禧光 	安全输注类智能装备 	1,093.85 	6.31 					
2017 年 	5 	三鑫医疗 	安全输注类智能装备、 血液净化类智能装备 	884.86 	5.10 					
2017 年 	 	小计 	 	9,753.72 	56.25 					
2016 年  	1 	江西洪达 	安全输注类智能装备 	4,893.16 	35.09 					
2016 年  	2 	三鑫医疗 	安全输注类智能装备、 血液净化类智能装备 	1,991.84 	14.29 					
2016 年  	3 	江苏吉春 	安全输注类智能装备 	1,548.43 	11.11 					
2016 年  	4 	山东威高 	安全输注类智能装备 	1,477.22 	10.59 					
2016 年  	5 	江西科伦 	安全输注类智能装备 	633.21 	4.54 					
2016 年  	 	小计 	 	10,543.87 	75.62 					
2015 年 	1 	江西洪达 	安全输注类智能装备 	5,073.50   	35.06 					
										
2 	山东威高 	安全输注类智能装备 	2,009.67 	13.89 						
3 	三鑫医疗 	安全输注类智能装备、 血液净化类智能装备 	1,727.54 	11.94 						
4 	江西科伦 	安全输注类智能装备 	923.98 	6.38 						
5 	江西益康 	安全输注类智能装备 	700.09 	4.84 						
 	小计 	 	10,434.78 	72.11 						
										
客户名称 	成立时间 	注册资本 	股权结构 	董事、监事 	是否与公司存在关联关系 					
江西洪达 	1999.7.1 	42,888 万元 	王辉,38.82%;王江华,30.59%;王跃华,30.59% 	王辉、王江华、 王跃华 	否 					
										
客户名称 	客户名称 	成立时间 	注册资本 	股权结构 	董事、监事 	是否与公司存在关联关系 				
三鑫医疗 	江西三鑫医疗科技股份有限公司 	1997.3.7 	15,872万元 	彭义兴,30.10%;雷凤莲,6.95%;彭海波,5.09%;万小平,4.63%;彭九莲,3.70%;王来娣,3.48%;吴建国,2.83%;王兰,2.67%;刘涂德,2.19%;刘全生 1.30%; 其他 A 股社会公众股 37.06% 	彭义 兴、 雷凤莲、周益平、浦冠新、虞义华、万小 平、 毛志平、余珍珠、张黎明、张琳 	否 				
三鑫医疗 	云南三鑫医疗科技有限公司 	2011.12.9 	10,000万元 	江西三鑫医疗科技股份有限公司 100% 	万小平、蔡小华 	否 				
										
客户名称 	客户名称 	成立时间 	注册资本 	股权结构 	董事、监事 	是否与公司存在关联关系 				
山东威高 	山东威高集团医用高分子制品股份有限公司 	2000.12.28 	45,223.324 万元 	威高集团有限公司,47.76%; JP Morgan Chase & Co.4.89%;Joho Partners L.P.,4.20%;Capital Research and Management Company,2.54%;BlackRock, Inc.,2.44%;其他港股流通股股东,38.17% 	王毅、张华威、夏列 波、 弓剑波、卢伟雄、周淑华、王锦霞、付明 仲、 陈晓云、毕冬梅、岳春良 	否 				
山东威高 	威海威高血液净化制品有限公司 	2004.12.27 	17,024 万元 	山东威高集团医用高分子制品股份有限公司 49.34%；威海凯德信息技术中心（有限合伙）20.00%；上海威科投资有限公司 15.16%；陈林 9.00%；夏列波 6.50% 	夏列波、陈林、张华威、鞠洪峰 	否 				
山东威高 	威海洁瑞医用制品有限公司 	1999.1.22 	3,200 万元 	山东威高集团医用高分子制品股份有限公司 100% 	王毅、陈晓通、张德 海、 张华威、王永昌、陈晓云 	否 				
										
客户名称 	成立时间 	注册资本 	股权结构 	董事、监事 	是否与公司存在关联关系 					
上海金塔 	1988.1.26 	4,020 万元 	毛春元,57.71%;毛亚凌,25.07%;邓风珍,17.21% 	毛春元、邓风珍 	否 					
										
客户名称 	客户名称 	成立时间 	注册资本 	股权结构 	董事、监事 	是否与公司存在关联关系 				
江西科伦 	江西科伦医疗器械制造有限公司 	2010.12.17 	5,000 万元 	刘思川,73.00%;黄勇,17.00%;四川科伦实业集团有限公司,7.00%;陈喜红,2.00% 	兰海、李冰冰、杨晓平、陈伦宏 	否 				
江西科伦 	崇州君健塑胶有限公司 	2008.7.23 	4,000 万元 	四川科伦药业有限公司 100% 	赵立品、肖弘渊 	否 				
										
客户名称 	成立时间 	注册资本 	股权结构 	董事、监事 	是否存在关联关系 					
江苏吉春 	2000.12.18 	508 万元 	朱平南,90.16%;顾轶峰,4.92%;王烨,4.92% 	朱平南、 王烨 	否 					
										
客户名称 	成立时间 	注册 资本 	股权结构 	董事、监事 	是否存在关联关系 					
江西益康 	1999.1.4 	31,800万元 	桂华亮,67.94%; 李爱珍,31.56%;桂涛,0.50% 	桂华亮、李爱珍 	否 					
										
客户名称 	客户名称 	成立时间 	注册资本 	股权结构 	董事、监事 	是否与公司存在关联关系 				
千禧光 	苏州千禧光医疗科技有限公司 	2013.9.19 	100 万元 	上海萌黎国际贸易有限公司，100% 	林亮、林作钱 	否 				
千禧光 	千禧光医疗器械（泰州）有限公司 	2016.9.14 	3,400 万美元 	千禧光医疗有限公司，100% 	林亮、林作钱 	否 				
										
项目 	2017 年 	2017 年 	2016 年 	2016 年 	2015 年 	2015 年 				
项目 	采购金额（万元） 	占比（% ） 	采购金额（万元） 	占比（% ） 	采购金额（万元） 	占比（% ） 				
标准件 	4,516.41 	55.56 	  2,960.15   	53.90 	  2,070.75   	42.55 				
定制采购件 	2,271.98 	27.95 	  1,591.74   	28.98 	  1,970.01   	40.48 				
基础原材料 	699.76 	8.61 	  437.22   	7.96 	  493.45   	10.14 				
加工费 	184.99 	2.28 	  120.34   	2.19 	  94.50   	1.94 				
电费 	118.68 	1.46 	  103.76   	1.89 	  92.40   	1.90 				
其他 	336.35 	4.14 	  278.76   	5.08 	  145.88   	3.00 				
合计 	8,128.17 	100.00 	  5,491.97   	100.00 	  4,866.99   	100.00 				
										
项目 	2017 年 	2016 年 	2015 年 							
气缸（元/只） 	275.15 	  266.51   	  271.07   							
传感器（元/个） 	127.44 	  171.09   	  124.05   							
伺服电机（元/台） 	969.51   	    1,103.29     	    1,108.63     							
普通电机（元/台） 	  346.47   	  280.62   	  270.50   							
CCD 相机（元/个） 	7,932.92   	  7,238.35   	  6,282.87   							
CCD 镜头（元/个） 	2,160.37   	  2,333.18   	  2,863.20   							
CCD 控制器（元/个） 	13,059.82   	  12,223.61   	  11,455.59   							
电磁阀（元/个） 	88.37   	  113.89   	    161.72     							
钢材（元/公斤） 	9.57 	  7.00   	  8.75   							
										
期间 	项目 	采购金额（万元） 	采购单价（元/千瓦时） 	占采购总额的比例（%） 						
2017 年 	电 	118.68 	0.75 	1.46 						
2016 年 	电 	103.76     	0.77 	1.88 						
2015 年 	电 	92.40   	0.81 	1.65 						
										
年度 	序号 	供应商名称 	采购产品内容 	金额 （万元） 	占比 （%） 					
2017年 	1 	SMC 中国有限公司 	标准件 	1,309.26 	16.11 					
2017年 	2 	广东宏恩精密机械有限公司  	定制采购件 	502.55 	6.18 					
2017年 	3 	基恩士（中国）有限公司 	标准件 	360.06 	4.43 					
2017年 	4 	东莞市梦博精密机械有限公司 	定制采购件 	337.88 	4.16 					
2017年 	5 	欧姆龙自动化系统（杭州）有限公司 	标准件 	337.54 	4.15 					
2017年 	 	小计 	 	2,847.29 	35.03 					
2016年 	1 	SMC 中国有限公司 	标准件 	779.45 	14.19 					
2016年 	2 	东莞市梦博精密机械有限公司 	定制采购件 	319.81 	5.82 					
2016年 	3 	广东宏德精密机械有限公司 	定制采购件 	349.91 	6.37 					
2016年 	4 	欧姆龙自动化系统（杭州）有限公司 	标准件 	272.60 	4.96 					
2016年 	5 	基恩士（中国）有限公司 	标准件 	252.97 	4.61 					
2016年 	 	小计 	 	1,974.73 	35.96 					
2015年 	1 	SMC 中国有限公司 	标准件 	691.87 	14.22 					
2015年 	2 	东莞市万江诚辉精密机械厂 	定制采购件 	480.63 	9.88 					
2015年 	3 	东莞市合辉精密机械设备有限公司 	定制采购件 	378.28 	7.77 					
2015年 	4 	东莞市莱锐精密五金科技有限公司 	定制采购件 	357.28 	7.34 					
2015年 	5 	台州市黄岩鑫晨模具厂 	定制采购件 	333.54 	6.85 					
2015年 	 	小计 	 	2,241.60 	46.06 					
										
供应商名称 	成立时间 	注册资本 	股权结构 	董事、监事 	是否与公司存在关联关系 					
SMC 中国有限公司 	1994.9.2 	210 亿日元 	SMC 株式会社,100% 	薄井郁二、赵彤、刘腊喜、吴南、王春洋、梅泽哲夫、飯野敏彦、杨中保、马清海、李智、傅沛明、陈立然 	否 					
										
供应商名称 	成立时间 	注册资本 	股权结构 	董事、监事 	是否与公司存在关联关系 					
欧 姆 龙 自 动化 系 统 （ 杭州）有限公司 	2012.3.12 	6,000 万元 	欧姆龙（中国）有限公司,100% 	大场合志、傅成、顾颖颢、松山信也、清水康博 	否 					
										
供应商名称 	成立时间 	注册资本 	股权结构 	董事、监事 	是否与公司存在关联关系 					
基恩士（中国）有限公司 	2001.9.12 	10,000 万元 	基恩士株式会社,100% 	山本晃则、原田修、木村圭一 	否 					
										
供应商名称 	成立时间 	注册资本 	股权结构 	董事、监事 	是否与公司存在关联关系 					
东 莞 市 莱 锐精 密 五 金 科技有限公司 	2013.5.7 	350 万元 	陈少华，57%；张锋40%；何红英 3% 	张锋、陈少华 	否 					
										
供应商名称 	成立时间 	出资额 	股权结构 	董事、监事 	是否与公司存在关联关系 					
东莞市万江诚辉精密机械厂 	2011.4.14 	5 万元 	包照红个人投资企业 	包照红 	否 					
										
供应商名称 	成立时间 	注册资本 	股权结构 	董事、监事 	是否与公司存在关联关系 					
东 莞市 合辉精 密机 械设 备有限 公司 	2009.7.22 	50 万元 	陈文忠，80%；林松，20% 	陈文忠、林松 	否 					
										
供应商名称 	成立时间 	出资额 	股权结构 	董事、监事 	是否与公司存在关联关系 					
台州市黄岩鑫晨模具厂 	2006.6.21 	2 万元 	沈恩国个人投资企业 	沈恩国 	否 					
										
供应商名称 	成立 时间 	注册 资本 	股权结构 	董事、监事 	是否与公司存在关联关系 					
东 莞 市 梦 博 精 密 机械有限公司 	2015.6.3 	500 万元 	李海霞，100% 	李海霞、赵会玲 	否 					
										
供应商名称 	成立时间 	注册资本 	股权结构 	董事、监事 	是 否 与 公 司 存在关联关系 					
广东宏德精密	2013.9.4 	1,000 万元 	祁友士,80%;	祁友士、张遂 	否 					
机械有限公司 										
广东宏恩精密机械有限公司 	2017.1.18 	1,000 万元 	张森林,100% 	张遂、张森林 	否 					
										
年度 	序号 	外协供应商名称 	加工产品类型 	金额 （万元） 	占比（%） 					
2017 年 	1 	深圳市金和源科技有限公司 	电镀 	59.41 	0.73 					
2017 年 	2 	东莞市德佳信模具有限公司、东莞市高埗德佳机械零件加工厂[注] 	氧化、喷砂 	27.24 	0.34 					
2017 年 	3 	东莞千穗金属制品有限公司 	抛光 	17.55 	0.22 					
2017 年 	4 	台州利森机床附件有限公司 	激光切割 	12.53 	0.15 					
2017 年 	5 	玉环顺康金属表面处理厂 	氧化 	9.33 	0.12 					
2017 年 	 	小计 	 	126.06 	1.55 					
2016 年 	1 	东莞市万江艺德五金加工部 	电镀 	18.58 	0.34 					
2016 年 	2 	东莞市高埗德永佳五金加工厂 	氧化、喷砂 	11.05 	0.20 					
2016 年 	3 	玉环楚门佳环模具店 	抛光 	10.20 	0.19 					
										
4 	玉环陈荣高压锅配件有限公司 	氧化 	8.06 	0.15 						
5 	深圳市金和源科技有限公司 	电镀 	6.01 	0.11 						
 	小计 	 	53.88 	0.98 						
1 	玉环县捷达金属表面处理有限公司 	氧化 	20.91 	0.43 						
2 	东莞市高埗德永佳五金加工厂、东莞市万江德佳五金加工厂[注] 	氧化、喷砂 	20.46 	0.42 						
3 	东莞市万江艺德五金加工部 	电镀 	18.44 	0.38 						
4 	玉环楚门佳环模具店 	抛光 	15.86 	0.33 						
5 	温岭市嵘发不锈钢有限公司 	折弯 	2.02 	0.04 						
 	小计 	 	77.69 	1.60 						
										
序号 	文件编号 	文件名 	文件类型 							
1 	MD-QP-002 	质量记录管控程序 	质量控制程序 							
2 	MD-QP-008 	营销管控程序 	质量控制程序 							
3 	MD-QP-009 	设计与开发管控程序 	质量控制程序 							
4 	MD-QP-010 	设计与工程变更管控程序 	质量控制程序 							
5 	MD-QP-011 	采购管控程序 	质量控制程序 							
6 	MD-QP-012 	供应商管控程序 	质量控制程序 							
7 	MD-QP-013 	生产过程管控程序 	质量控制程序 							
8 	MD-QP-014 	测量设备管控程序 	质量控制程序 							
9 	MD-QP-015 	产品监视与测量管控程序 	质量控制程序 							
10 	MD-QP-016 	产品标识与追溯管控程序 	质量控制程序 							
11 	MD-QP-017 	产品防护管控程序 	质量控制程序 							
12 	MD-QP-018 	内审管控程序 	质量控制程序 							
13 	MD-QP-019 	不合格品管控程序 	质量控制程序 							
14 	MD-QP-020 	数据分析管控程序 	质量控制程序 							
15 	MD-QP-021 	纠正与预防措施管控程序 	质量控制程序 							
16 	MD-QP-022 	客户反馈意见及满意度管控程序 	质量控制程序 							
										
污染物排放源 	污染物排放源 	污染物名称 	处理方式 	实际运行情况 						
废气 	喷砂设备 	砂粉 	喷砂房进行封闭，粉尘经自带除尘过滤装置处理后高空达标排放。 	正常 						
废气 	喷塑设备 	塑粉 	喷塑房进行封闭，塑粉经自带圆筒形玻璃纤维过滤装置处理后高空达标排放。 	正常 						
废气 	烘烤与焊接 	烟尘 	加强车间通风，保证换气率在 6 次/小时以上。 	正常 						
废水 	生活废水 	COD、氨氮、BOD5 	厂区实行雨污分流，雨水经收集后排入市政雨水管网；清洗废水和员工生活废水经化粪池处理后纳管排放；食堂废水经隔油池处理后排放。 	正常 						
固废 	危险固废 	废乳化液 	收集后交给玉环市乳化液处理有限公司等具有废乳化液处理资质的企业处置。 	正常 						
										
一般固废 	收集的塑粉 	收集的塑粉 	回收生产利用。 	正常 						
一般固废 	喷砂集尘灰 	喷砂集尘灰 	回收生产利用。 	正常 						
一般固废 	金属边角料 	金属边角料 	收集后出售给相关个人、企业综合利用。 	正常 						
一般固废 	职工生活垃圾 	职工生活垃圾 	由环卫部门收集清运。 	正常 						
生产车间 	生产车间 	企业生产车间在作业时关闭门窗，同时，厂区周围种植乔木，进一步降低噪声对周围环境的影响。 	正常 							
										
年度 	环保投资（万元） 	环保设施运行费用（万元） 	合计（万元） 							
2017 年度 	- 	11.86 	11.86 							
2016 年度 	- 	12.56 	12.56 							
2015 年度 	4.70 	10.20 	14.90 							
										
污染物种类 	环保设施情况 	环保设施情况 	环保设施情况 	处置能力 	实际运行情况 					
污染物种类 	设施名称 	数量 （台/套） 	工艺类型 	处置能力 	实际运行情况 					
废气 	砂粉除尘过滤装置 	1 	布袋除尘后排放 	充足 	正常 					
废气 	塑粉筒形玻璃纤维过滤装置 	1 	布袋除尘后排放 	充足 	正常 					
废水 	污水处理设施 	3 	沉淀、过滤系统 	充足 	正常 					
废水 	化粪池 	3 	- 	充足 	正常 					
										
隔油池 	1 	- 	充足 	正常 						
一般固废处置场所 	1 	收集后回收利用或出售给回收单位或由环卫部门收集清运 	充足 	正常 						
危废处置场所 	1 	收集后交给玉环市乳化液处理有限公司等具有废乳化液处理资质的企业处置 	充足 	正常 						
										
序号 	所有权人 	房产证号 	座落地 	面积（m2） 	取得方式 	用途 	抵押情况 			
1 	迈得医疗 	玉房权证玉环字第 172668 号 	玉环市滨港工业城 	14,281.95 	自建 	工业 	未抵押 			
2 	迈得医疗 	玉房权证玉环字第 172669 号 	玉环市滨港工业城 	4,226.95 	自建 	工业 	未抵押 			
3 	迈得医疗 	玉房权证玉环字第 172670 号 	玉环市滨港工业城 	6,380.26 	自建 	工业 	未抵押 			
										
序号 	机器设备名称 	数量 （台/套） 	账面原值 （万元） 	账面净值 （万元） 	成新率(%) 					
1 	加工中心机 	7 	217.35 	84.85   	39.04 					
2 	铣床 	30 	111.62 	43.79   	39.23 					
3 	线切割机 	15 	98.63 	44.95   	45.57 					
4 	磨床 	5 	88.34 	35.67   	40.38 					
5 	振动盘检测设备 	1 	51.28 	9.46   	18.45 					
6 	注射针芯子自动检测设备 	1 	68.38   	37.93   	55.47 					
7 	机床/车床 	13 	50.89   	11.34   	22.27 					
 	总计 	- 	686.49 	267.99 	39.04 					
										
序号 	所有权人 	权属证号 	取得方式 	土地用途 	位置 	终止日期 	土地面积（m2） 	是否 抵押 		
1 	迈得医疗 	玉国用（2015）第 00784 号 	出让 	工业用地 	玉环市 滨港工业城 	2060.8.11 	31,197.00 	未抵押 		
										
序	商标样式 	类	权属 	注册证	有效期限 	取得	是否许可他			
号 										
1 	 	7 	迈得医疗 	6132180 	2010.4.14- 2020.4.13 	原始取得 	否 			
										
方式 	人使用 									
										
序号 	专利名称 	专利号 	获得方式[注1] 	申请日期 	有效期 	权属 				
										
1 	输液器滴斗组件的组装工艺及其装置 	ZL200710038621.9 	受让取得 	2007.03.29 	20年 	迈得医疗 				
										
2 	医用针叶片的夹具 	ZL200810162885.X 	受让取得 	2008.12.08 	20年 	迈得医疗 				
3 	医用针的针管与针座叶片的校正方法及搓针装置 	ZL200810163583.4 	受让取得 	2008.12.25 	20年 	迈得医疗 				
3 	医用针的针管与针座叶片的校正方法及搓针装置 	ZL200810163583.4 	受让取得 	2008.12.25 	20年 	迈得医疗 				
										
4 	输液器导管组件的组装方法及该方法中的导管送料装置 	ZL200810063757.X 	受让取得 	2008.07.30 	20年 	迈得医疗 				
										
5 	医用针针座叶片分料机的送料装置 	ZL200810162886.4 	受让取得 	2008.12.08 	20年 	迈得医疗 				
6 	医用器械组装机的上料装置 	ZL200710070561.9 	受让取得 	2007.08.28 	20年 	迈得医疗 				
6 	医用器械组装机的上料装置 	ZL200710070561.9 	受让取得 	2007.08.28 	20年 	迈得医疗 				
										
7 	医用塑针组件的组装方法及其组装机 	ZL200710070560.4 	受让取得 	2007.08.28 	20年 	迈得医疗 				
										
8 	塑针滴斗组件的滤网组装装置 	ZL200910095576.X 	受让取得 	2009.01.21 	20年 	迈得医疗 				
9 	输液器滴斗组件连接工艺 	ZL200910312871.6 	受让取得 	2009.12.31 	20年 	迈得医疗 				
9 	输液器滴斗组件连接工艺 	ZL200910312871.6 	受让取得 	2009.12.31 	20年 	迈得医疗 				
										
10 	医用针对刃面装置 	ZL200810063726.4 	受让取得 	2008.07.28 	20年 	迈得医疗 				
										
11 	用于医疗器械组装的涂粘结剂机构 	ZL200710070562.3 	受让取得 	2007.08.28 	20年 	迈得医疗 				
12 	医疗器械自动化组装设备中的涂胶装置 	ZL200810163573.0 	受让取得 	2008.12.24 	20年 	迈得医疗 				
12 	医疗器械自动化组装设备中的涂胶装置 	ZL200810163573.0 	受让取得 	2008.12.24 	20年 	迈得医疗 				
										
13 	输液器组装机的导管送料装置 	ZL200810063758.4 	受让取得 	2008.07.30 	20年 	迈得医疗 				
										
